ZTFID,class,category,evidence,strength
ZTF18abdfwur,SN Ia,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E4:SN Ia in BTS explorer capture 2021-01-28T12:53:21 || E5:peakt 308.70 < 1289.5,
ZTF18abdefet,SN Ia,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E4:SN Ia in BTS explorer capture 2021-01-28T12:53:21 || E5:peakt 310.89 < 1289.5,
ZTF18abdffeo,SN Ib/c,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'SN Ib/c' not emittable by SNIascore,
ZTF18abdbuty,SN Ia,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E4:SN Ia in BTS explorer capture 2021-01-28T12:53:21 || E5:peakt 306.81 < 1289.5,
ZTF18abdgwxn,SN Ia,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E4:SN Ia in BTS explorer capture 2021-01-28T12:53:21 || E5:peakt 305.80 < 1289.5,
ZTF18abcysdx,SN Ia,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E4:SN Ia in BTS explorer capture 2021-01-28T12:53:21 || E5:peakt 308.83 < 1289.5,
ZTF18abdbysy,SN II,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'SN II' not emittable by SNIascore,
ZTF18abdiwpt,SN Ia,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E4:SN Ia in BTS explorer capture 2021-01-28T12:53:21 || E5:peakt 320.77 < 1289.5,
ZTF18aamgcbt,AGN,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'AGN' not emittable by SNIascore,
ZTF18aazppgf,AGN,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'AGN' not emittable by SNIascore,
ZTF18abdkimx,SN Ia,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E4:SN Ia in BTS explorer capture 2021-01-28T12:53:21 || E5:peakt 312.83 < 1289.5,
ZTF18abdrmin,SN Ia,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E4:SN Ia in BTS explorer capture 2021-01-28T12:53:21 || E5:peakt 315.68 < 1289.5,
ZTF18abdrbqp,SN IIP,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'SN IIP' not emittable by SNIascore,
ZTF18abecbks,SN Ic,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'SN Ic' not emittable by SNIascore,
ZTF18abcfdzu,SN IIP,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'SN IIP' not emittable by SNIascore,
ZTF18abeamgv,SN Ib,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'SN Ib' not emittable by SNIascore,
ZTF18aansqun,SN Ia,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E4:SN Ia in BTS explorer capture 2021-01-28T12:53:21 || E5:peakt 308.74 < 1289.5,
ZTF18abeegsl,SN Ia,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E4:SN Ia in BTS explorer capture 2021-01-28T12:53:21 || E5:peakt 314.91 < 1289.5,
ZTF18abehrdw,CV,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'CV' not emittable by SNIascore,
ZTF18abeajml,SN II,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'SN II' not emittable by SNIascore,
